UnixTime,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_ValidityLeft,ET_ValidityRight
1680003145,,,,,,,,
1680003145,989,624,979,577,,,0,0
1680003145,,,978,577,,2.594192505,4,0
1680003145,960,579,981,575,,,0,0
1680003145,965,571,980,590,,,0,0
1680003145,,,949,632,,2.792037964,4,0
1680003145,959,579,997,588,,,0,0
1680003145,977,580,1005,599,,,0,0
1680003145,,,988,597,,2.615264893,4,0
1680003145,972,567,985,585,,,0,0
1680003145,958,580,981,579,,,0,0
1680003145,,,996,572,,2.694595337,4,0
1680003145,981,592,959,598,,,0,0
1680003145,964,590,949,610,,,0,0
1680003145,,,951,608,,2.686782837,4,0
1680003145,949,583,957,613,,,0,0
1680003145,935,583,950,614,,,0,0
1680003145,,,925,623,,2.693023682,4,0
1680003145,938,611,902,628,,,0,0
1680003145,920,610,891,600,,,0,0
1680003145,906,625,891,600,2.500473022,2.75730896,0,0
1680003145,880,610,889,594,,,0,0
1680003145,873,629,885,627,,,0,0
1680003145,846,604,886,631,2.180526733,2.722808838,0,0
1680003145,839,600,906,610,,,0,0
1680003145,888,591,880,612,,,0,0
1680003145,,,880,612,,2.766571045,4,0
1680003145,848,593,880,614,,,0,0
1680003145,829,610,884,618,,,0,0
1680003145,,,884,618,,2.750488281,4,0
1680003145,858,618,883,620,,,0,0
1680003145,882,591,880,612,,,0,0
1680003145,,,880,612,,2.714950562,4,0
1680003145,879,581,883,599,,,0,0
1680003145,877,592,881,630,,,0,0
1680003145,,,896,601,,2.861373901,4,0
1680003145,894,600,886,601,,,0,0
1680003145,896,610,889,599,,,0,0
1680003145,,,,,,,,
1680003145,,,,,,,4,4
1680003145,884,603,913,607,,,0,0
1680003145,878,610,920,604,,,0,0
1680003145,,,,,,,4,4
1680003145,862,603,905,581,,,0,0
1680003145,848,548,877,543,,,0,0
1680003145,,,877,543,,2.389450073,4,0
1680003145,873,563,888,555,,,0,0
1680003145,872,571,883,550,,,0,0
1680003145,872,571,,,3.43913269,,0,4
1680003145,859,561,880,550,,,0,0
1680003145,857,562,881,551,,,0,0
1680003145,,,873,556,,2.648544312,4,0
1680003145,861,544,873,562,,,0,0
1680003145,869,533,870,559,,,0,0
1680003145,,,868,551,,2.608840942,4,0
1680003145,848,541,871,537,,,0,0
1680003145,846,534,863,553,,,0,0
1680003145,807,502,860,568,2.164764404,2.725204468,0,0
1680003145,864,527,850,566,,,0,0
1680003146,853,550,852,563,,,0,0
1680003146,,,,,,,4,4
1680003146,803,512,874,559,,,0,0
1680003146,855,531,875,561,,,0,0
1680003146,858,537,,,2.468338013,,0,4
1680003146,880,558,848,542,,,0,0
1680003146,865,573,870,531,,,0,0
1680003146,871,571,867,544,3.148101807,2.719177246,0,0
1680003146,849,568,875,554,,,0,0
1680003146,860,553,829,580,,,0,0
1680003146,,,840,559,,2.738723755,4,0
1680003146,866,550,851,568,,,0,0
1680003146,855,573,877,570,,,0,0
1680003146,,,871,571,,2.817245483,4,0
1680003146,873,584,871,567,,,0,0
1680003146,871,585,866,559,,,0,0
1680003146,871,585,,,2.881942749,,0,4
1680003146,853,574,842,554,,,0,0
1680003146,864,561,856,553,,,0,0
1680003146,864,561,849,553,2.770355225,2.895721436,0,0
1680003146,851,550,855,546,,,0,0
1680003146,843,558,852,542,,,0,0
1680003146,848,561,862,527,2.668457031,2.884002686,0,0
1680003146,859,564,858,539,,,0,0
1680003146,857,565,845,550,,,0,0
1680003146,854,564,841,539,2.829208374,2.850219727,0,0
1680003146,867,568,852,565,,,0,0
1680003146,896,565,876,563,,,0,0
1680003146,901,562,892,570,2.705001831,2.84236145,0,0
1680003146,913,549,898,563,,,0,0
1680003146,899,553,899,534,,,0,0
1680003146,899,554,899,534,2.677780151,2.849014282,0,0
1680003146,880,546,899,545,,,0,0
1680003146,892,548,903,543,,,0,0
1680003146,890,544,,,2.595214844,,0,4
1680003146,908,546,904,533,,,0,0
1680003146,906,546,900,565,,,0,0
1680003146,910,550,,,2.733673096,,0,4
1680003146,902,549,924,545,,,0,0
1680003146,903,575,915,549,,,0,0
1680003146,903,574,923,537,2.815612793,2.59085083,0,0
1680003146,893,570,913,529,,,0,0
1680003146,895,540,904,530,,,0,0
1680003146,898,544,880,560,2.66796875,2.79296875,0,0
