UnixTime,Interpolated Gaze X,Interpolated Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,Fixation Index,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion
1680003145.0289,,,,,,,,,,,,
1680003145.03304,980.666666666667,583.833333333333,593.046112060547,16.4368360016693,-4571.43379219071,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.04136,977.5,584.833333333333,590.240539550781,9.28201333411946,-859.82030062008,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.04987,973.666666666667,578.166666666667,593.063842773438,18.4720736460196,1080.03999434717,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.05804,964,596.5,593.088348388672,22.6908802536768,516.624411611073,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.06639,966.5,598.666666666667,590.242126464844,10.4871088799731,-1460.72479516718,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.07472,972.666666666667,601.666666666667,593.089965820313,21.7723023476002,1354.27738721075,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.08307,985.666666666667,590,593.144348144531,20.0510547335256,-206.260948361256,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.09137,985.833333333333,587.5,590.399841308594,9.49094212909074,-1271.73580505495,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.09972,978.666666666667,584.166666666667,593.228790283203,12.957616495396,415.474102794285,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.10803,981.333333333333,575.833333333333,593.310150146484,2.08055287610027,-1308.89683870179,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.11636,978.5,582.166666666667,590.765258789063,15.5906508525393,1620.57649118814,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.12469,974.166666666667,589,593.448913574219,27.9385961655746,1482.82700431536,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.13303,959.166666666667,601,593.555541992188,25.2643561932827,-320.69457270046,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.14136,953.5,602,591.251831054688,10.7427735710085,-1743.26630199808,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.1497,948.833333333333,601.5,593.710784912109,14.5084328701147,451.236555038372,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.15808,940.166666666667,606.5,593.815979003906,23.9202348469713,1123.22055265435,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.16637,929.166666666667,613.666666666667,591.728332519531,26.1832380612369,273.108363918557,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.17469,916.833333333333,615.833333333333,593.934478759766,21.9537376138628,-508.585705896207,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.18302,908,612.333333333333,593.990875244141,23.3428759743934,166.705271937812,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.19143,896.166666666667,606.5,594.047576904297,21.3513265942721,-236.874896536618,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.19976,887.333333333333,614.166666666667,593.985473632813,22.5515702943688,144.054021303259,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.20805,876.5,615.833333333333,593.976257324219,15.6069483981213,-837.306715245661,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.21639,872.5,616.833333333333,593.957824707031,8.46235401515609,-856.871477928183,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.22469,874.166666666667,608,593.818420410156,12.8556109296591,529.135933431657,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.23301,878.833333333333,606.166666666667,593.741119384766,3.06950422966119,-1176.25716071468,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.24135,876,605.666666666667,591.494201660156,12.9928462093453,1190.40582282891,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.24971,866.833333333334,609.833333333333,593.517303466797,10.3001990028155,-321.890617748725,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.25803,868.166666666667,611.833333333333,593.430786132813,8.26485911410688,-244.788132910216,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.26635,870.333333333333,617,591.162170410156,10.7881374426423,303.067372328835,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.27468,878.5,612.833333333333,593.249084472656,9.49332901812608,-155.469048618729,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.28307,877.166666666667,610.833333333333,593.206848144531,12.2647224000764,330.427358261927,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.29137,880.666666666667,601.166666666667,591.039367675781,7.38788249222193,-587.549836494395,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.29968,880,604.333333333333,593.124267578125,4.86763062386189,-303.18819468993,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.308,885.333333333333,600.666666666667,593.155639648438,8.51143298569355,437.883332351729,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.31658,888.333333333334,604.166666666667,591.075439453125,7.90816493575702,-70.3774017355003,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.32468,892.833333333334,602,593.200103759766,4.38889060941698,-434.151358401703,1,922.902777777778,601.472222222222,28.86725,328.8433,299.97605,0.797596199040897
1680003145.33301,892.5,604.5,593.298400878906,,,,,,,,,
1680003145.33409,,,,,,,,,,,,
1680003145.34135,,,,,,,,,,,,
1680003145.34978,898.5,605,593.434631347656,,,,,,,,,
1680003145.35802,899,607,593.562927246094,,,,,,,,,
1680003145.36634,,,,,,,,,,,,
1680003145.37467,883.5,592,593.734222412109,,,,,,,,,
1680003145.38307,874.333333333333,560.166666666667,593.864959716797,45.3873157535197,,,,,,,,
1680003145.39139,873.333333333333,549.166666666667,591.528869628906,7.5098158364291,-4556.47246052407,2,861.42570385511,555.929550027476,387.23005,728.83025,341.6002,0.225821942602668
1680003145.39969,878.333333333333,554.166666666667,594.032531738281,15.2516629055204,932.629057485316,2,861.42570385511,555.929550027476,387.23005,728.83025,341.6002,0.225821942602668
